Title,Link,Runtime (minutes),Genres,Years,Src,About
The Sooty Show,https://www.imdb.com/title/tt0264301/,30,Family,1968-1992,"https://m.media-amazon.com/images/M/MV5BYzkwMjk3ZDUtYjA0NS00OWVlLWJjOWUtNmM3ZWE2OTk2ZjAxXkEyXkFqcGdeQXVyNTA4NzExMDg@._V1_UY209_CR4,0,140,209_AL_.jpg",Children's slapstick show with the little bear glove puppet and his friends. 
The Basil Brush Show,https://www.imdb.com/title/tt0288339/,,"Comedy, Family",1980-1986,"https://m.media-amazon.com/images/M/MV5BOTA3ZDQyYWItM2NiZC00MmVjLTkwZjQtMmEwYWJmMjQxNzNkXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY209_CR2,0,140,209_AL_.jpg","Jokes and comical stories told by the red fox puppet ""Basil Brush"" "
Roland Rat: The Series,https://www.imdb.com/title/tt0186772/,,"Comedy, Family",1985-1988,"https://m.media-amazon.com/images/M/MV5BOGVlYzQyYWMtNzJjNy00Mjc2LWFjN2QtNjNjOGZmMDkyM2ExXkEyXkFqcGdeQXVyMTUyODMyMw@@._V1_UY209_CR79,0,140,209_AL_.jpg","Comic stories involving the puppet ""Roland the Rat"" and his friends living under London's Kings Cross Railway Station. "
Dungeons & Dragons,https://www.imdb.com/title/tt0085011/,30,,1983-1985,"https://m.media-amazon.com/images/M/MV5BOWM0MjNkMjEtY2IyNi00ODdmLTk0ODctNjY3YTQzN2Y3N2ZiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR7,0,140,209_AL_.jpg","A group of kids are thrown into a fantasy world where they must search for a way home, armed with magic weapons that an evil tyrant wants. "
You and Me,https://www.imdb.com/title/tt0397225/,15,Family,1974-1992,https://m.media-amazon.com/images/S/sash/i-t32yvKixg10fG.png,"Humans and puppets interact, tell stories and have fun to provide entertainment to 4 and 5 year old pre-school viewers. "
Little House on the Prairie,https://www.imdb.com/title/tt0071007/,60,,1974-1983,"https://m.media-amazon.com/images/M/MV5BMTg0NzQ4MDAtYmNlYi00OGExLWE3YjItNzEyOWI3MGE3NzRkXkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_UY209_CR1,0,140,209_AL_.jpg",The life and adventures of the Ingalls family in the nineteenth century American Midwest. 
Bellamy's Backyard Safari,https://www.imdb.com/title/tt1988232/,,Documentary,1981-,https://m.media-amazon.com/images/S/sash/i-t32yvKixg10fG.png,Add a Plot 
Dramarama,https://www.imdb.com/title/tt0086699/,,"Drama, Family, Fantasy",1983-1989,"https://m.media-amazon.com/images/M/MV5BMTcxOTEzNzkxM15BMl5BanBnXkFtZTgwODcxODgzMjE@._V1_UY209_CR3,0,140,209_AL_.jpg",A series of plays for children which featured the supernatural frequently and science fiction occasionally. 
Chocky,https://www.imdb.com/title/tt0202722/,151,"Drama, Sci-Fi",1984,"https://m.media-amazon.com/images/M/MV5BMTk3MzE0MDI2OV5BMl5BanBnXkFtZTYwMjg1MDU5._V1_UY209_CR4,0,140,209_AL_.jpg",A story centered on a young schoolboy and his strange relationship with an extraterrestrial entity. 
Cockleshell Bay,https://www.imdb.com/title/tt0433281/,10,"Animation, Family",1980-1986,"https://m.media-amazon.com/images/M/MV5BZWFkNDc3YzQtZWZlYS00MmIzLThkNmItZmRmMmJiN2ZmYWE1XkEyXkFqcGdeQXVyMTA1MzI3MDcy._V1_UY209_CR75,0,140,209_AL_.jpg","Charming British animated series about two children, Robin and Rosie, who have moved with their family to the seaside town of the title in order to get away from the hustle and bustle of the big city. They open a guest-house. "
Crackerjack!,https://www.imdb.com/title/tt0195452/,45,"Comedy, Family, Game-Show",1955-2021,"https://m.media-amazon.com/images/M/MV5BY2MyZWEwMGEtMjYwMi00YTA1LThlOWUtYzM5OTYxMDU1MjgwXkEyXkFqcGdeQXVyNjY5MjkxMzE@._V1_UY209_CR126,0,140,209_AL_.jpg","The shows were broadcast live in front of an audience largely of children, originally at the King's Theatre on Hammersmith Road until 1963, then at the BBC Television Theatre (now the ... See full summary » "
Jonny Briggs,https://www.imdb.com/title/tt0088546/,20,Family,1985-1987,"https://m.media-amazon.com/images/M/MV5BNzdjZWM5NzUtNmRjZi00MzQxLWJkMTEtZDI0NjkxZmIyMzhkXkEyXkFqcGdeQXVyNjY1NTA5NTg@._V1_UX140_CR0,0,140,209_AL_.jpg","Jonny Briggs centers on the exploits of a young boy, the eponymous hero (played by Richard Holian), his pet dog, Razzle, and his eccentric family members. "
Rentaghost,https://www.imdb.com/title/tt0074045/,25,"Comedy, Family, Fantasy",1976-1984,"https://m.media-amazon.com/images/M/MV5BMTIzNjE2NDgwN15BMl5BanBnXkFtZTcwMzA2MDcxMQ@@._V1_UY209_CR2,0,140,209_AL_.jpg","After his death, Fred Mumford wants a second chance at achieving the success that eluded him in life. Coming back to Earth as a spirit, he recruits a Victorian gent and a medieval jester to set up ""Rentaghost"". "
Cloppa Castle,https://www.imdb.com/title/tt0369090/,11,Family,1978-1979,"https://m.media-amazon.com/images/M/MV5BMjEyNjM0NTAyOF5BMl5BanBnXkFtZTcwNzEyMDcyMQ@@._V1_UY209_CR3,0,140,209_AL_.jpg","String-puppet series about the Byegones, who live in a medieval fort, and their enemies the Hasbeenes, who are determined to take control of Cloppa Castle. "
Grange Hill,https://www.imdb.com/title/tt0075512/,30,"Comedy, Drama, Family",1978-2008,"https://m.media-amazon.com/images/M/MV5BMjE3Njk2ODkyOF5BMl5BanBnXkFtZTcwNjQ1ODc4Mw@@._V1_UY209_CR3,0,140,209_AL_.jpg","The long running television series of the Grange Hill Comprehensive School, and the children's everyday lives. "
Take Hart,https://www.imdb.com/title/tt0303543/,30,Family,1977-1983,"https://m.media-amazon.com/images/M/MV5BOTNiM2Q0NmYtNTMxYS00NjJkLThkZDgtNjg1ODYwY2ZlODFjXkEyXkFqcGdeQXVyNjIzNzc4NDE@._V1_UY209_CR87,0,140,209_AL_.jpg",Host Tony Hart demonstrates various art projects along with cartoon sequences. 
Play Away,https://www.imdb.com/title/tt0273380/,,"Comedy, Family, Music",1971-1984,"https://m.media-amazon.com/images/M/MV5BODIzZGE5ZmYtZDgxZi00MDgyLWFkMDItNmRmMzBkODE4MDc5XkEyXkFqcGdeQXVyNTgwNTk5MDU@._V1_UY209_CR38,0,140,209_AL_.jpg","Songs, jokes and sketches with Brian Cant and the Play Away crew. "
Bric-A-Brac,https://www.imdb.com/title/tt0428095/,,Family,1980-,https://m.media-amazon.com/images/S/sash/i-t32yvKixg10fG.png,A children's TV series in which each episode is centred around a different letter of the alphabet.The old bloke who owns the shop rummages around to find things in the junk that start with that letter. 
Screen Test,https://www.imdb.com/title/tt0403803/,30,"Family, Game-Show",1970-1984,"https://m.media-amazon.com/images/M/MV5BNWY5NDI0OTItYTJmOC00ZTFlLTg1ZmUtMDk0Y2RlNDljYmUzXkEyXkFqcGdeQXVyNTgwNTk5MDU@._V1_UY209_CR103,0,140,209_AL_.jpg","Quiz show for children, where they are asked a selection of observational questions on various films. "
Wide Awake Club,https://www.imdb.com/title/tt0295140/,,Family,1984-1989,"https://m.media-amazon.com/images/M/MV5BZGNlOGExMGEtMDdkZS00ZDU5LWE3NGUtMTk2YjQxZWNjNWI2XkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_UY209_CR2,0,140,209_AL_.jpg","A variety show for children featuring comedy sketches, team challenges, celebrity guests and competitions. "
"Scooby Doo, Where Are You!",https://www.imdb.com/title/tt0063950/,22,,1969-1970,"https://m.media-amazon.com/images/M/MV5BN2EyMmIyMWItZTRiYy00MmE1LTkyOTAtMTliMzYwZGJlYmFjXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX140_CR0,0,140,209_AL_.jpg","A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function. "
Hong Kong Phooey,https://www.imdb.com/title/tt0070996/,22,,1974-1975,"https://m.media-amazon.com/images/M/MV5BZGJmOGU5YTMtNTA2MS00ZmQ0LThmNjMtYTQ2NTUyYjc3Y2VjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY209_CR6,0,140,209_AL_.jpg",A kung-fu-fighting pup and his snickering cat sidekick battle crime. 
Scooby-Doo and Scrappy-Doo,https://www.imdb.com/title/tt0083475/,30,,1979-1983,"https://m.media-amazon.com/images/M/MV5BMWUwZjVmNWItNWZlZS00MGUxLWExNzMtYTZlNTZlMGNkZTIwXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY209_CR4,0,140,209_AL_.jpg",The adventures of the mystery solving dog and his nephew. 
